RecordNo;101;102;103;104;105;106;107;108;109;110
RecordNo;X5M1;X5M2;X5M3;X5M4;X5M5;X5M6;X5M7;X5M8;X5M9;X5M10
2598;;;4;1;3;5;5;4;;1
2609;3;3;1;4;2;3;;;4;
2613;4;5;2;5;3;;;;;1
2615;;4;;;1;;1;;4;1
2619;;2;4;5;2;;;;;
2620;;3;2;1;1;2;;;1;2
2623;5;3;2;;4;1;3;;;
2625;;4;2;;5;;2;3;4;
2631;;1;;1;2;2;;;4;
2634;4;4;;4;3;;;;2;5
2642;;;;;;5;1;;;
2643;;;;;;;;5;3;3
2645;;;1;;3;4;2;;;4
2651;;;;;3;2;2;1;3;1
2664;1;3;2;;;;;;4;4
2670;;;;;;;;;;5
2674;4;1;3;2;;;;;;
2688;;2;5;;2;;3;5;;
2691;;2;1;1;;1;;;;1
2695;;1;5;3;3;;2;;3;1
2703;1;;4;4;;4;;;2;5
2707;1;2;3;5;;4;;;5;
2727;;;;4;3;;5;;;
2731;;2;;;;3;4;;;
2742;2;;;;2;4;;4;;2
2744;;1;;;1;3;1;;4;
2748;;3;;1;3;;4;;4;1
2754;3;;;;;5;;;1;4
2757;3;1;;2;3;1;;1;3;4
2766;4;;;3;;3;1;;4;5
2775;4;1;3;;;5;4;;;3
2780;4;2;5;2;3;1;;;3;
2786;;2;4;1;4;;5;3;;
2798;5;4;1;;;;;;;
2801;;3;;3;;;;1;5;
2809;;1;;;3;;3;3;;1
2813;;5;;3;;;5;;3;4
2817;5;;4;2;;4;3;2;4;3
2822;2;4;1;;1;;3;4;2;
2837;;5;;;1;;;;;
2862;;;;;;;1;1;3;4
2865;2;3;3;;;3;5;4;1;
2880;1;3;5;1;4;3;4;2;5;5
2886;2;3;;;;3;;2;;
